Date,Age,Gender,City,Customer_Type,Product_Category,Quantity,Unit_Cost,Unit_Price,Discount,Payment_Method,Customer_Satisfaction,Previous_Purchases,Revenue
2023-01-13 06:21:55.571557155,38.0,Homme,Touba,Fidèle,Mode,4,510.0,779.0,0.048,Orange Money,5.0,8,2966.0
2024-04-19 22:46:33.159315928,61.0,Homme,Touba,Occasionnel,Alimentation,6,4762.0,6558.0,0.126,Orange Money,1.8,2,34390.0
2023-01-14 21:47:21.764176417,67.0,Femme,Dakar,Fidèle,Alimentation,2,1174.0,1588.0,0.001,Orange Money,3.3,1,3173.0
2025-12-06 13:53:50.603060304,69.0,Homme,Thiès,Occasionnel,Beauté,1,988.0,1513.0,0.028,Orange Money,4.6,3,1471.0
2024-01-24 05:11:30.189018900,45.0,Femme,Touba,Fidèle,Beauté,4,1351.0,1983.0,0.057,Wave,4.5,5,7480.0
2024-10-07 00:28:04.968496848,43.0,Homme,Kaolack,Occasionnel,Alimentation,5,902.0,1113.0,0.05,Wave,2.6,4,5287.0
2023-03-27 07:25:00.270027002,55.0,Femme,Dakar,Fidèle,Maison,4,509.0,745.0,0.094,Espèces,3.3,4,2700.0
2023-12-22 21:51:15.067506748,53.0,Homme,Dakar,Fidèle,Électronique,6,936.0,1325.0,0.058,Wave,3.4,1,7489.0
2025-09-24 04:57:40.666066592,54.0,Femme,Dakar,Fidèle,Électronique,6,3109.0,4796.0,0.052,Orange Money,2.4,3,27280.0
2023-07-10 07:55:14.851485148,61.0,Homme,Thiès,Occasionnel,Mode,4,1225.0,1898.0,0.043,Espèces,2.6,3,7266.0
2023-12-14 08:50:58.865886588,38.0,Homme,Dakar,Occasionnel,Maison,5,1776.0,2400.0,0.143,Orange Money,3.4,2,10284.0
2025-01-10 12:18:47.632763272,52.0,Homme,Saint-Louis,Occasionnel,Électronique,5,572.0,798.0,0.017,Wave,1.6,4,3922.0
2023-05-13 20:04:58.109810980,44.0,Homme,Dakar,Fidèle,Alimentation,3,505.0,726.0,0.097,Orange Money,2.7,5,1967.0
2025-09-02 23:04:41.908190816,25.0,Femme,Dakar,Occasionnel,Beauté,5,1087.0,1382.0,0.027,Orange Money,4.4,6,6723.0
2024-10-24 05:06:19.117911784,30.0,Femme,Saint-Louis,Occasionnel,Électronique,1,964.0,1426.0,0.06,Wave,3.9,3,1340.0
2023-05-24 11:01:27.488748874,64.0,Femme,Thiès,Fidèle,Électronique,5,2239.0,3233.0,0.034,Espèces,2.3,7,15615.0
2023-02-09 18:03:33.861386138,46.0,Homme,Dakar,Occasionnel,Électronique,2,1328.0,1866.0,0.093,Wave,3.4,2,3385.0
2023-12-20 14:39:38.397839780,26.0,Homme,Ziguinchor,Fidèle,Mode,3,1239.0,2020.0,0.123,Wave,3.2,2,5315.0
2023-01-28 01:10:51.305130513,45.0,Homme,Dakar,Fidèle,Électronique,2,599.0,904.0,0.045,Carte bancaire,2.5,2,1727.0
2024-06-23 18:42:26.894689464,50.0,Homme,Dakar,Occasionnel,Maison,4,1580.0,2320.0,0.043,Wave,3.9,3,8881.0
2024-09-28 08:50:07.020702064,41.0,Femme,Dakar,Occasionnel,Maison,6,551.0,816.0,0.084,Orange Money,3.6,3,4485.0
2024-01-09 13:00:16.201620160,55.0,Femme,Dakar,Occasionnel,Électronique,4,1427.0,1741.0,0.059,Espèces,3.8,5,6553.0
2025-11-24 23:18:05.508550848,50.0,Femme,Dakar,Occasionnel,Mode,1,1356.0,1813.0,0.024,Wave,3.1,5,1769.0
2024-11-06 11:07:30.405040496,64.0,Femme,Thiès,Fidèle,Mode,3,339.0,508.0,0.021,Wave,3.2,2,1492.0
2025-03-08 18:53:40.882088200,56.0,Homme,Kaolack,Occasionnel,Alimentation,6,910.0,1069.0,0.104,Wave,3.2,3,5747.0
2024-06-29 00:51:50.711071104,25.0,Homme,Ziguinchor,Fidèle,Maison,3,745.0,993.0,0.01,Carte bancaire,3.3,6,2949.0
2024-06-24 15:44:00.864086408,64.0,Homme,Dakar,Occasionnel,Mode,7,1154.0,1614.0,0.045,Wave,3.5,1,10790.0
2023-01-25 17:59:14.635463546,23.0,Homme,Thiès,Occasionnel,Mode,6,1205.0,1839.0,0.029,Carte bancaire,4.4,3,10714.0
2024-09-13 21:54:16.525652560,21.0,Homme,Dakar,Fidèle,Beauté,4,789.0,1029.0,0.036,Wave,2.2,1,3968.0
2023-04-14 22:13:17.119711970,68.0,Homme,Dakar,Occasionnel,Beauté,4,1342.0,1950.0,0.004,Orange Money,4.3,2,7769.0
2023-11-01 10:34:14.365436540,57.0,Homme,Thiès,Fidèle,Beauté,4,1149.0,1587.0,0.037,Wave,4.2,4,6113.0
2023-03-18 18:24:44.068406840,24.0,Femme,Touba,Occasionnel,Mode,5,2146.0,3052.0,0.029,Carte bancaire,5.0,1,14817.0
2024-05-26 23:07:43.366336632,61.0,Femme,Kaolack,Fidèle,Beauté,3,1027.0,1402.0,0.027,Orange Money,2.9,8,4092.0
2023-10-25 15:37:06.102610260,49.0,Femme,Touba,Occasionnel,Mode,1,1740.0,2707.0,0.041,Orange Money,2.6,4,2596.0
2025-08-05 03:50:42.664266416,57.0,Femme,Touba,Occasionnel,Alimentation,3,3108.0,4347.0,0.125,Virement,4.5,3,11411.0
2023-09-19 01:46:42.880288028,38.0,Femme,Dakar,Fidèle,Maison,5,1992.0,3091.0,0.08,Carte bancaire,3.5,5,14219.0
2023-10-17 18:23:00.378037800,29.0,Homme,Dakar,Occasionnel,Mode,7,674.0,929.0,0.078,Orange Money,5.0,4,5996.0
2023-05-29 14:33:09.558955894,53.0,Homme,Dakar,Occasionnel,Alimentation,2,2078.0,2945.0,0.078,Orange Money,3.4,5,5431.0
2025-08-18 17:44:59.189918992,54.0,Homme,Touba,Occasionnel,Beauté,5,746.0,1106.0,0.103,Carte bancaire,3.5,3,4960.0
2025-12-01 12:59:50.279027888,55.0,Femme,Dakar,Fidèle,Beauté,5,976.0,1430.0,0.058,Espèces,3.6,3,6735.0
2023-08-03 04:52:55.517551752,31.0,Femme,Touba,Occasionnel,Alimentation,4,733.0,1025.0,0.085,Wave,4.6,6,3752.0
2023-01-23 16:03:01.458145814,67.0,Femme,Thiès,Fidèle,Électronique,4,928.0,1250.0,0.058,Carte bancaire,1.9,5,4710.0
2025-05-28 06:40:04.320432032,22.0,Femme,Kaolack,Occasionnel,Maison,4,952.0,1540.0,0.036,Carte bancaire,1.5,5,5938.0
2024-10-25 02:07:53.087308728,35.0,Femme,Dakar,Fidèle,Mode,5,1367.0,1734.0,0.141,Espèces,3.7,5,7448.0
2023-07-17 13:23:10.099009900,37.0,Homme,Dakar,Fidèle,Beauté,3,1436.0,1862.0,0.074,Wave,2.3,4,5173.0
2025-01-21 03:15:17.011701168,68.0,Homme,Dakar,Occasionnel,Mode,2,1757.0,2325.0,0.114,Espèces,3.0,3,4120.0
2025-05-20 09:25:58.595859584,42.0,Femme,Touba,Fidèle,Électronique,6,2098.0,3161.0,0.038,Wave,4.2,6,18245.0
2025-04-23 10:52:49.036903680,33.0,Femme,Rufisque,Occasionnel,Maison,2,1231.0,1823.0,0.069,Espèces,5.0,2,3394.0
2025-07-28 22:22:47.416741664,40.0,Femme,Saint-Louis,Fidèle,Alimentation,8,1822.0,2242.0,0.073,Wave,3.3,6,16627.0
2023-06-23 03:17:00.702070206,68.0,Homme,Dakar,Occasionnel,Mode,3,671.0,1034.0,0.106,Wave,3.0,1,2773.0
2025-05-25 02:26:53.681368128,44.0,Homme,Dakar,Occasionnel,Beauté,4,723.0,1016.0,0.022,Orange Money,3.4,1,3975.0
2025-12-20 09:03:30.621062096,70.0,Femme,Dakar,Occasionnel,Mode,6,2702.0,3825.0,0.113,Espèces,2.7,4,20357.0
2024-10-07 05:43:28.460846080,27.0,Femme,Saint-Louis,Fidèle,Mode,3,750.0,1148.0,0.125,Orange Money,3.3,4,3014.0
2024-11-08 15:41:25.328532848,54.0,Femme,Dakar,Occasionnel,Électronique,1,634.0,736.0,0.051,Espèces,3.8,2,698.0
2023-07-31 21:41:18.847884788,40.0,Femme,Saint-Louis,Occasionnel,Alimentation,4,2683.0,3872.0,0.036,Wave,4.1,3,14930.0
2023-01-08 21:14:05.724572457,39.0,Femme,Ziguinchor,Occasionnel,Beauté,4,668.0,768.0,0.028,Wave,3.3,6,2986.0
2024-02-06 03:19:36.237623760,31.0,Homme,Kaolack,Fidèle,Maison,8,975.0,1397.0,0.084,Orange Money,4.7,3,10237.0
2025-05-14 00:59:37.317731760,66.0,Femme,Thiès,Occasionnel,Électronique,5,1315.0,2075.0,0.008,Carte bancaire,5.0,8,10292.0
2023-06-30 21:53:24.680468046,33.0,Homme,Thiès,Occasionnel,Mode,7,654.0,777.0,0.003,Wave,3.1,2,5423.0
2023-09-11 01:54:55.409540952,62.0,Femme,Ziguinchor,Occasionnel,Électronique,6,487.0,733.0,0.026,Espèces,3.3,1,4284.0
2024-06-05 22:18:02.268226816,57.0,Homme,Thiès,Occasionnel,Beauté,3,2276.0,3150.0,0.092,Carte bancaire,2.2,3,8581.0
2023-02-08 15:46:36.399639963,56.0,Homme,Kaolack,Occasionnel,Électronique,1,691.0,972.0,0.086,Espèces,3.4,8,888.0
2024-01-20 19:42:56.057605756,46.0,Homme,Saint-Louis,Occasionnel,Électronique,4,810.0,1096.0,0.051,Virement,3.1,2,4160.0
2025-10-27 14:34:53.249324928,60.0,Femme,Dakar,Occasionnel,Maison,6,640.0,860.0,0.074,Carte bancaire,3.0,6,4778.0
2024-05-09 05:21:00.486048600,45.0,Homme,Dakar,Fidèle,Mode,5,724.0,1134.0,0.013,Virement,4.8,1,5596.0
2024-09-03 09:35:28.892889288,45.0,Homme,Ziguinchor,Fidèle,Alimentation,5,784.0,1194.0,0.019,Wave,3.1,2,5857.0
2025-02-07 10:31:12.907290720,70.0,Femme,Dakar,Occasionnel,Mode,3,729.0,990.0,0.062,Espèces,2.2,5,2786.0
2025-11-10 07:06:51.521152112,64.0,Homme,Thiès,Occasionnel,Alimentation,2,978.0,1419.0,0.049,Orange Money,4.4,8,2699.0
2025-08-06 11:23:03.618361824,18.0,Femme,Dakar,Occasionnel,Maison,3,353.0,496.0,0.079,Orange Money,3.2,1,1370.0
2023-12-16 16:02:35.535553552,63.0,Femme,Dakar,Fidèle,Alimentation,6,1309.0,1639.0,0.057,Wave,3.7,3,9273.0
2025-11-29 18:56:42.340234016,69.0,Femme,Dakar,Fidèle,Électronique,5,1463.0,2332.0,0.152,Wave,3.6,6,9888.0
2025-07-24 02:44:10.585058496,62.0,Femme,Dakar,Fidèle,Électronique,5,996.0,1541.0,0.069,Espèces,3.0,1,7173.0
2025-10-29 00:44:55.949594944,27.0,Homme,Dakar,Occasionnel,Électronique,6,398.0,557.0,0.098,Virement,3.2,5,3014.0
2024-12-01 05:06:45.040504048,67.0,Homme,Thiès,Occasionnel,Mode,2,859.0,1261.0,0.104,Wave,4.0,3,2260.0
2025-08-10 15:15:29.972997296,23.0,Femme,Thiès,Fidèle,Mode,6,1782.0,2494.0,0.122,Wave,3.7,5,13138.0
2023-10-29 08:58:45.472547252,39.0,Homme,Ziguinchor,Occasionnel,Mode,2,199.0,301.0,0.097,Espèces,4.8,3,544.0
2024-06-29 21:53:24.680468040,46.0,Femme,Saint-Louis,Occasionnel,Électronique,2,1069.0,1643.0,0.106,Wave,3.5,2,2938.0
2023-07-09 03:00:35.643564356,36.0,Femme,Dakar,Occasionnel,Maison,1,1461.0,1745.0,0.06,Virement,3.5,3,1640.0
2024-11-03 09:32:01.512151208,67.0,Homme,Dakar,Occasionnel,Maison,5,313.0,459.0,0.168,Orange Money,3.2,5,1909.0
2023-10-01 23:54:48.928892888,67.0,Homme,Ziguinchor,Occasionnel,Mode,4,453.0,685.0,0.138,Orange Money,2.7,6,2362.0
2024-09-11 12:04:58.109810976,43.0,Femme,Dakar,Occasionnel,Maison,6,414.0,620.0,0.091,Virement,5.0,4,3381.0
2023-05-22 22:13:43.042304230,65.0,Homme,Dakar,Occasionnel,Mode,4,3186.0,4107.0,0.006,Orange Money,2.5,7,16329.0
2025-12-29 05:56:52.061206112,28.0,Femme,Saint-Louis,Occasionnel,Alimentation,5,1270.0,1794.0,0.081,Virement,3.9,5,8243.0
2025-12-14 13:45:38.073807376,28.0,Homme,Dakar,Occasionnel,Alimentation,3,701.0,1081.0,0.061,Carte bancaire,4.4,5,3045.0
2025-01-09 02:08:44.932493240,19.0,Femme,Thiès,Occasionnel,Maison,2,1865.0,2627.0,0.112,Orange Money,4.2,4,4666.0
2023-08-31 18:51:31.269126912,27.0,Homme,Thiès,Occasionnel,Électronique,4,926.0,1246.0,0.042,Wave,2.6,5,4775.0
2025-05-18 20:38:14.149414928,51.0,Homme,Kaolack,Fidèle,Électronique,1,291.0,391.0,0.053,Espèces,5.0,6,370.0
2023-12-14 16:44:04.104410440,22.0,Homme,Touba,Fidèle,Beauté,6,806.0,1088.0,0.037,Espèces,4.3,1,6286.0
2023-11-16 00:07:46.606660664,65.0,Homme,Dakar,Occasionnel,Électronique,7,1554.0,2141.0,0.011,Orange Money,2.8,2,14822.0
2024-09-12 22:15:00.810081000,51.0,Femme,Ziguinchor,Fidèle,Électronique,5,1557.0,2119.0,0.062,Orange Money,4.1,3,9705.0
2025-02-01 23:06:25.598559848,21.0,Homme,Saint-Louis,Occasionnel,Alimentation,4,875.0,1360.0,0.049,Wave,3.9,7,5173.0
2023-08-10 18:13:56.003600360,58.0,Homme,Dakar,Fidèle,Électronique,3,1077.0,1444.0,0.097,Espèces,4.1,0,3912.0
2024-03-18 07:33:12.799279928,18.0,Femme,Dakar,Occasionnel,Mode,5,521.0,789.0,0.074,Virement,4.3,4,3653.0
2024-06-03 20:21:49.090909088,54.0,Femme,Thiès,Fidèle,Beauté,5,1032.0,1476.0,0.059,Espèces,5.0,7,6945.0
2024-02-17 10:02:16.093609356,33.0,Femme,Dakar,Fidèle,Mode,6,571.0,696.0,0.021,Espèces,3.3,4,4088.0
2025-10-13 11:32:07.992799280,54.0,Femme,Ziguinchor,Fidèle,Maison,4,2675.0,3571.0,0.032,Espèces,3.7,5,13827.0
2025-02-19 11:37:44.986498648,63.0,Femme,Rufisque,Occasionnel,Électronique,4,847.0,1238.0,0.114,Wave,4.3,4,4387.0
2024-12-19 22:32:43.636363632,41.0,Femme,Dakar,Occasionnel,Électronique,4,474.0,645.0,0.087,Espèces,4.1,3,2356.0
2025-08-10 23:08:35.211521152,63.0,Homme,Touba,Occasionnel,Électronique,7,1116.0,1603.0,0.091,Carte bancaire,2.1,4,10200.0
2025-12-08 18:27:45.526552640,22.0,Autre,Dakar,Occasionnel,Maison,4,1259.0,1745.0,0.045,Espèces,4.5,5,6666.0
2023-05-05 12:20:05.400540054,60.0,Homme,Thiès,Occasionnel,Alimentation,4,769.0,1115.0,0.041,Espèces,1.5,2,4277.0
2023-05-03 10:23:52.223222322,46.0,Homme,Dakar,Fidèle,Alimentation,5,1926.0,2816.0,0.113,Carte bancaire,2.2,2,12489.0
2024-06-13 01:08:15.769576952,68.0,Homme,Saint-Louis,Fidèle,Électronique,3,1251.0,1930.0,0.106,Orange Money,4.9,7,5176.0
2023-05-31 13:51:40.990099008,40.0,Femme,Ziguinchor,Occasionnel,Alimentation,9,694.0,1067.0,0.032,Carte bancaire,4.2,3,9296.0
2023-10-31 00:24:11.665166516,50.0,Homme,Dakar,Fidèle,Maison,3,845.0,1284.0,0.071,Wave,2.5,4,3579.0
2023-12-31 10:51:31.269126912,68.0,Femme,Rufisque,Fidèle,Beauté,4,959.0,1401.0,0.088,Espèces,2.8,5,5111.0
2024-11-30 10:42:52.817281720,40.0,Femme,Dakar,Fidèle,Électronique,4,2695.0,3713.0,0.031,Carte bancaire,4.7,7,14392.0
2025-05-28 19:48:33.051305120,20.0,Femme,Thiès,Fidèle,Électronique,4,293.0,4716.0,0.083,Espèces,3.7,4,1442.0
2023-01-26 12:23:06.858685868,46.0,Femme,Thiès,Fidèle,Maison,5,2267.0,3500.0,0.064,Carte bancaire,4.0,4,16380.0
2025-12-15 23:55:40.774077392,44.0,Homme,Dakar,Fidèle,Mode,5,1036.0,1313.0,0.064,Wave,4.0,3,6145.0
2024-01-26 04:30:01.620162012,54.0,Femme,Thiès,Occasionnel,Maison,3,348.0,472.0,0.129,Wave,3.9,3,1233.0
2023-12-30 00:41:28.568856884,23.0,Femme,Dakar,Occasionnel,Beauté,3,551.0,765.0,0.097,Wave,4.0,2,2072.0
2024-09-24 23:21:32.889288928,59.0,Femme,Dakar,Fidèle,Mode,3,578.0,705.0,0.087,Wave,3.3,5,1931.0
2023-09-14 08:45:47.794779476,44.0,Femme,Rufisque,Fidèle,Beauté,6,909.0,1248.0,0.059,Wave,3.9,3,7046.0
2023-06-08 13:43:28.460846084,32.0,Femme,Rufisque,Fidèle,Électronique,6,1196.0,1628.0,0.105,Carte bancaire,3.0,7,8742.0
2024-05-15 19:02:45.256525648,43.0,Femme,Dakar,Occasionnel,Mode,1,612.0,748.0,0.064,Wave,3.8,3,700.0
2023-10-18 12:46:52.601260124,62.0,Homme,Dakar,Occasionnel,Mode,3,640.0,951.0,0.043,Espèces,2.0,3,2730.0
2024-01-27 01:31:35.589558952,45.0,Femme,Thiès,Occasionnel,Alimentation,1,587.0,884.0,0.174,Orange Money,4.2,3,730.0
2025-12-27 06:38:20.630062992,24.0,Autre,Rufisque,Occasionnel,Électronique,1,1248.0,2038.0,0.065,Wave,2.2,6,1906.0
2023-03-10 00:09:04.374437443,28.0,Autre,Dakar,Occasionnel,Mode,4,1593.0,2090.0,0.027,Wave,3.3,2,8134.0
2023-04-05 22:42:13.933393339,44.0,Homme,Ziguinchor,Fidèle,Alimentation,7,988.0,1504.0,0.055,Virement,4.4,3,9949.0
2023-12-08 03:02:19.333933392,39.0,Homme,Dakar,Occasionnel,Alimentation,3,1363.0,2019.0,0.049,Espèces,2.8,2,5760.0
2024-04-27 09:29:51.899189912,63.0,Homme,Dakar,Occasionnel,Beauté,3,987.0,1221.0,0.037,Carte bancaire,2.3,4,3527.0
2025-11-10 17:37:38.505850576,47.0,Homme,Ziguinchor,Fidèle,Beauté,3,1405.0,2142.0,0.108,Wave,2.9,3,5732.0
2023-11-07 08:29:48.658865884,29.0,Femme,Dakar,Occasionnel,Mode,3,2804.0,3900.0,0.071,Orange Money,1.9,3,10869.0
2025-08-07 03:09:14.095409536,44.0,Femme,Touba,Fidèle,Maison,4,1089.0,1482.0,0.066,Wave,3.5,4,5537.0
2025-01-20 06:13:43.042304224,37.0,Femme,Ziguinchor,Occasionnel,Mode,5,1473.0,2398.0,0.029,Orange Money,3.7,5,11642.0
2025-08-01 20:59:50.279027888,49.0,Femme,Kaolack,Fidèle,Électronique,4,1435.0,2000.0,0.067,Orange Money,3.2,5,7464.0
2023-10-19 07:10:44.824482448,62.0,Femme,Saint-Louis,Occasionnel,Alimentation,3,653.0,848.0,0.054,Orange Money,4.2,6,2407.0
2023-07-25 07:59:34.077407740,36.0,Homme,Ziguinchor,Occasionnel,Beauté,4,174.0,274.0,0.079,Orange Money,4.2,4,1009.0
2024-02-26 01:40:14.041404136,25.0,Femme,Kaolack,Occasionnel,Mode,6,294.0,406.0,0.087,Wave,3.2,1,2224.0
2024-03-30 03:24:21.386138608,53.0,Homme,Touba,Occasionnel,Beauté,2,1174.0,1437.0,0.062,Orange Money,2.4,3,2696.0
2025-09-13 03:30:24.302430240,35.0,Homme,Dakar,Fidèle,Électronique,6,573.0,851.0,0.042,Wave,3.9,2,4892.0
2025-09-01 15:32:20.954095408,64.0,Femme,Saint-Louis,Fidèle,Beauté,4,805.0,1144.0,0.081,Wave,4.1,4,4205.0
2024-07-01 21:11:56.111611160,29.0,Homme,Dakar,Occasionnel,Électronique,2,487.0,723.0,0.052,Carte bancaire,2.8,4,1371.0
2025-01-08 23:31:03.186318624,42.0,Femme,Ziguinchor,Occasionnel,Beauté,6,1594.0,2162.0,0.105,Carte bancaire,2.3,2,11610.0
2025-10-29 21:46:29.918991888,43.0,Femme,Touba,Fidèle,Alimentation,5,832.0,1118.0,0.075,Espèces,3.4,6,5171.0
2024-03-10 23:27:35.805580552,21.0,Homme,Dakar,Occasionnel,Mode,3,1477.0,1746.0,0.075,Carte bancaire,3.4,4,4845.0
2025-11-07 05:31:22.628262816,70.0,Femme,Kaolack,Occasionnel,Mode,3,1244.0,1599.0,0.108,Carte bancaire,3.0,5,4279.0
2023-09-05 09:14:44.608460844,68.0,Femme,Dakar,Occasionnel,Alimentation,3,2088.0,2747.0,0.027,Carte bancaire,3.7,3,8018.0
2024-04-05 17:06:06.156615656,28.0,Homme,Ziguinchor,Occasionnel,Alimentation,6,498.0,734.0,0.065,Orange Money,3.0,5,4118.0
2024-11-23 21:01:08.046804672,22.0,Femme,Saint-Louis,Occasionnel,Mode,5,2462.0,3712.0,0.104,Orange Money,3.8,7,16630.0
2023-01-26 01:52:19.873987398,60.0,Homme,Touba,Occasionnel,Électronique,1,823.0,1186.0,0.021,Orange Money,3.7,0,1161.0
2023-09-11 22:56:29.378937892,56.0,Femme,Touba,Occasionnel,Mode,7,1142.0,1415.0,0.06,Orange Money,4.0,8,9311.0
2024-09-21 19:08:22.250225016,70.0,Femme,Dakar,Occasionnel,Mode,5,1067.0,1376.0,0.095,Carte bancaire,3.6,5,6226.0
2025-05-11 12:32:37.155715568,56.0,Femme,Dakar,Fidèle,Électronique,4,1281.0,1648.0,0.155,Wave,4.5,4,5570.0
2025-11-13 00:49:15.175517552,40.0,Femme,Ziguinchor,Occasionnel,Mode,4,2023.0,2792.0,0.047,Espèces,2.3,4,10643.0
2023-08-12 17:32:27.434743472,27.0,Femme,Rufisque,Fidèle,Alimentation,2,896.0,1414.0,0.09,Wave,3.9,3,2573.0
2023-08-11 20:30:53.465346532,61.0,Homme,Dakar,Occasionnel,Électronique,2,644.0,936.0,0.051,Orange Money,5.0,4,1777.0
2025-08-14 05:59:27.596759664,24.0,Homme,Saint-Louis,Occasionnel,Alimentation,4,803.0,903.0,0.035,Espèces,2.4,4,3486.0
2024-09-08 23:37:57.947794776,23.0,Femme,Saint-Louis,Occasionnel,Alimentation,6,2509.0,3782.0,0.169,Espèces,3.3,5,18857.0
2025-12-07 00:24:37.587758768,58.0,Femme,Dakar,Occasionnel,Électronique,3,722.0,928.0,0.074,Orange Money,1.9,5,2578.0
2024-06-15 21:28:21.170117008,42.0,Femme,Dakar,Fidèle,Électronique,3,826.0,1259.0,0.057,Wave,4.5,2,3562.0
2023-12-23 00:28:56.813681364,57.0,Homme,Dakar,Fidèle,Beauté,9,1871.0,2519.0,0.045,Orange Money,3.9,2,21651.0
2025-12-30 05:36:07.776777664,27.0,Femme,Dakar,Fidèle,Mode,7,1154.0,1663.0,0.045,Orange Money,4.1,4,11117.0
2025-10-28 19:29:32.457245712,31.0,Homme,Saint-Louis,Occasionnel,Maison,6,1683.0,2290.0,0.126,Wave,3.3,6,12009.0
2024-01-31 23:47:54.167416740,34.0,Homme,Touba,Fidèle,Maison,4,938.0,1343.0,0.042,Wave,3.6,2,5146.0
2023-02-22 10:56:16.417641764,33.0,Homme,Dakar,Occasionnel,Alimentation,4,1016.0,1273.0,0.04,Orange Money,2.7,1,4888.0
2023-04-24 08:15:07.290729072,30.0,Femme,Ziguinchor,Fidèle,Maison,2,1527.0,2174.0,0.019,Carte bancaire,3.0,5,4265.0
2023-10-06 09:02:38.775877584,30.0,Homme,Thiès,Occasionnel,Beauté,6,2723.0,3636.0,0.068,Espèces,3.8,4,20333.0
2024-01-22 11:08:22.250225020,43.0,Femme,Rufisque,Occasionnel,Maison,3,1657.0,2053.0,0.11,Espèces,4.1,2,5482.0
